country_or_territory,IMF_2025_GDP_per_capita_USD
Monaco,256581
Liechtenstein,231713
Luxembourg,146818
Bermuda,138935
Ireland,129132
Switzerland,111047
Iceland,98150
Cayman Islands,97750
Singapore,94481
Norway,91884
United States,89599
Isle of Man,88329
Denmark,76581
Macau,74921
Channel Islands,74589
Netherlands,73174
Faroe Islands,71774
Qatar,71441
Australia,65946
San Marino,65269
Sweden,62036
Austria,61694
Belgium,60418
Israel,60009
Germany,59993
Greenland,58499
Hong Kong,56844
United Kingdom,56661
Finland,56084
Canada,54935
United Arab Emirates,51348
France,49961
Andorra,49451
New Zealand,49383
Malta,49277
U.S. Virgin Islands,44321
Italy,43161
Cyprus,42413
Guam,41833
Sint Maarten (Dutch part),40028
Puerto Rico,39854
Bahamas,39726
Aruba,39606
British Virgin Islands,38627
Spain,38040
Taiwan,37827
Slovenia,37178
Brunei,37020
South Korea,35962
Saudi Arabia,35231
Czech Republic,35161
Japan,34713
Estonia,34041
New Caledonia,33516
Lithuania,32982
Portugal,31415
Guyana,31378
Kuwait,30805
Turks and Caicos Islands,30349
Bahrain,29253
Anguilla,28850
Slovakia,28524
Poland,28485
Greece,27170
Croatia,26958
Barbados,25927
Hungary,25916
Cook Islands,25750
Latvia,25630
Uruguay,24380
Northern Mariana Islands,23786
French Polynesia,22774
Romania,22436
Antigua and Barbuda,22314
Curaçao,22192
Saint Kitts and Nevis,22158
Seychelles,21956
Saint Martin (French part),21668
Bulgaria,20426
Panama,19802
Palau,19456
Oman,19119
Costa Rica,19104
Maldives,18684
Cuba,18329
Turkey,18198
Montserrat,18197
Trinidad and Tobago,18121
American Samoa,18018
Russia,17446
Chile,17181
Serbia,15322
Montenegro,14986
Kazakhstan,14723
Saint Lucia,14647
Argentina,14359
Nauru,14274
Mexico,13967
Malaysia,13901
China,13806
Mauritius,13099
Grenada,12544
Dominican Republic,11919
Saint Vincent and the Grenadines,11132
Albania,11108
Turkmenistan,10801
Brazil,10578
North Macedonia,10378
Georgia,10126
Dominica,9944
Bosnia and Herzegovina,9648
Belarus,9435
Gabon,9303
Peru,9256
Armenia,8969
Jamaica,8405
Marshall Islands,8287
Colombia,8249
Moldova,8239
Equatorial Guinea,8229
Kosovo,8033
Thailand,7942
Belize,7897
Azerbaijan,7365
Ecuador,7210
Mongolia,7005
Botswana,6943
Libya,6866
Suriname,6843
Fiji,6825
Paraguay,6799
South Africa,6667
Guatemala,6478
Ukraine,6382
Algeria,6095
Tonga,5921
Samoa,5887
Iraq,5832
Tuvalu,5830
El Salvador,5744
Cape Verde,5671
Lebanon,5282
Micronesia,5241
Indonesia,5074
Jordan,4908
Namibia,4816
Morocco,4763
Tunisia,4752
Vietnam,4745
Bolivia,4585
Eswatini,4410
Djibouti,4369
Sri Lanka,4325
Philippines,4321
Bhutan,4285
Iran,4074
São Tomé and Príncipe,4061
Uzbekistan,3647
Honduras,3637
Ghana,3193
Egypt,3191
Vanuatu,3133
Venezuela,3103
Ivory Coast,3016
Nicaragua,2953
Angola,2931
India,2818
Cambodia,2812
Kyrgyzstan,2790
Bangladesh,2734
Zimbabwe,2656
Mauritania,2582
Papua New Guinea,2555
Kenya,2549
Kiribati,2481
Haiti,2461
Palestine,2443
Congo,2420
Solomon Islands,2386
Laos,2174
Cameroon,2027
Senegal,1921
Comoros,1773
Guinea,1741
Pakistan,1707
Tajikistan,1644
Benin,1635
Nepal,1535
Timor-Leste,1508
Uganda,1353
Zambia,1353
Tanzania,1302
Zanzibar,1225
Guinea-Bissau,1225
Nigeria,1200
Chad,1139
Togo,1120
Burkina Faso,1115
Myanmar,1097
Rwanda,1043
Mali,1014
Lesotho,1001
Ethiopia,994
Sierra Leone,980
Liberia,904
Gambia,890
Niger,789
DR Congo,772
Somalia,763
Sudan,712
Mozambique,690
Malawi,622
Madagascar,616
Central African Republic,599
Burundi,486
Afghanistan,417
South Sudan,313
