country_or_territory,annual_growth_2010_2023_percent,Density_km2,homicide_rate,life_expectancy,suicide_rate,IMF_2025_GDP_per_capita_USD,WBank_2024_Unemployment
Haiti,1.74,427.0,41.152,64.94,7.8,2461,15.1
Eswatini,1.7,72.0,12.665,64.12,27.2,4410,34.4
Ethiopia,1.55,117.0,8.632,67.31,6.1,994,3.4
Bangladesh,1.54,1333.0,2.34,74.67,2.8,2734,4.7
Myanmar,1.54,84.0,3.872,66.89,2.9,1097,3.0
Niger,1.34,21.0,4.389,61.18,4.5,789,0.4
Bhutan,1.32,21.0,2.46,72.97,4.9,4285,2.9
Morocco,1.21,53.0,1.705,75.31,2.9,4763,8.9
Angola,1.14,30.0,4.102,64.62,8.1,2931,14.5
Zimbabwe,1.12,43.0,6.76,62.77,17.3,2656,8.6
Papua New Guinea,1.12,23.0,9.402,66.13,1.8,2555,2.7
Guyana,1.11,4.2,16.198,70.18,24.8,31378,10.2
Cameroon,1.1,62.0,4.537,63.7,8.5,2027,57.0
Turkey,1.1,114.0,3.228,77.16,2.7,18198,8.4
United Arab Emirates,1.04,155.0,0.752,82.91,1.7,51348,2.1
Mozambique,1.04,44.0,3.573,63.61,10.6,690,3.5
China,1.02,151.0,0.502,77.95,8.9,13806,4.6
Rwanda,1.02,578.0,3.59,67.78,8.7,1043,12.0
India,0.99,488.0,2.832,72.0,12.6,2818,4.2
Nigeria,0.97,255.0,21.741,54.46,5.0,1200,3.0
São Tomé and Príncipe,0.86,245.0,3.225,69.72,0.9,4061,9.2
Lesotho,0.86,77.0,37.694,57.38,28.7,1001,16.1
Cambodia,0.85,100.0,1.839,70.67,4.5,2812,0.3
Nepal,0.85,207.0,2.102,70.35,10.1,1535,10.7
Kenya,0.82,99.0,4.892,63.65,4.6,2549,5.4
Malawi,0.81,230.0,1.791,67.35,7.6,622,5.0
Maldives,0.81,1759.0,0.595,81.04,1.5,18684,4.6
Uganda,0.8,249.0,8.768,68.25,5.5,1353,2.9
Bahrain,0.8,2034.0,0.204,81.28,4.7,29253,1.1
Sierra Leone,0.8,120.0,2.137,61.79,6.1,980,3.1
Nicaragua,0.76,57.0,11.006,74.95,4.2,2953,4.6
Guinea-Bissau,0.76,78.0,1.117,64.08,7.7,1225,2.6
Egypt,0.73,117.0,1.336,71.63,0.6,3191,7.2
Pakistan,0.71,289.0,4.335,67.65,5.6,1707,5.5
Saudi Arabia,0.7,16.0,0.795,78.73,0.9,35231,3.9
Botswana,0.69,4.4,10.547,69.16,8.4,6943,23.1
Bosnia and Herzegovina,0.68,62.0,1.224,77.85,9.0,9648,10.7
Dominican Republic,0.67,237.0,12.37,73.72,4.2,11919,5.5
Thailand,0.65,140.0,4.813,76.41,16.6,7942,0.7
Tanzania,0.64,77.0,3.705,67.0,5.1,1302,2.6
Zambia,0.63,29.0,5.25,66.35,7.1,1353,6.0
Uzbekistan,0.62,83.0,1.405,72.39,8.3,3647,4.5
Tajikistan,0.61,76.0,0.912,71.79,2.4,1644,11.6
Vietnam,0.6,303.0,1.537,74.59,7.3,4745,1.4
Iraq,0.57,106.0,9.41,72.32,3.0,5832,15.5
Indonesia,0.56,150.0,0.307,71.15,1.2,5074,3.3
Georgia,0.54,55.0,2.042,74.5,5.1,10126,11.5
Croatia,0.53,69.0,0.769,78.58,15.7,26958,5.2
Moldova,0.53,92.0,2.543,71.2,14.1,8239,1.4
Armenia,0.52,104.0,2.186,75.68,2.5,8969,13.3
Turkmenistan,0.52,16.0,1.093,70.07,6.8,10801,4.3
Latvia,0.51,30.0,2.497,76.19,15.2,25630,6.7
Mauritania,0.51,5.0,1.023,68.48,2.7,2582,10.4
Vanuatu,0.5,27.0,0.321,71.48,15.7,3133,5.1
Malta,0.5,1686.0,0.563,83.3,6.5,49277,2.7
Sri Lanka,0.5,373.0,3.427,77.48,14.7,4325,5.0
South Africa,0.5,53.0,45.534,66.14,22.3,6667,33.2
