Countries,Socio-Economic Development(PC1),Social Stress(PC2),Urban & Demographic Pressure(PC3),Violence vs Distress(PC4),Employment–Health Trade-off(PC5)
Haiti,-3.718292749618698,0.4645441922401523,1.771785685009191,1.4893532911471439,-0.2579879416200544
Eswatini,-3.4981712592717016,2.781466228761391,3.9583097232478286,-1.5241732999427866,0.6718183039762433
Ethiopia,-1.9863254426490249,-1.5353578372746626,0.932410927856996,-0.6434645506962884,-0.485989609849944
Bangladesh,-0.8902242745654193,-2.2574944263349748,1.721775452581128,0.021931257929150894,0.0065727013402565055
Myanmar,-1.9207524607577795,-2.0700862348313165,0.7781265880113711,-0.7488885957539111,-0.17232026840945786
Niger,-2.1524921246934023,-1.9597456790827459,0.377621688892708,-0.8138426503133079,-0.8575418286878943
Bhutan,-1.0587749911032576,-1.6239949642825495,0.5431625316182891,-0.8059208311793621,-0.011968894485404379
Morocco,-1.0258437830807452,-1.334044430235096,0.6695162136821825,-0.5170433363127588,0.8711677372033735
Angola,-2.199939620459769,-0.41489066796272667,1.1157748900134903,-0.6987429655273261,0.42045937458739635
Zimbabwe,-1.9923254094678282,0.22365912332726928,1.1705826366499539,-1.2314297949512973,-1.1058223146802704
Papua New Guinea,-1.788984668916427,-1.6215849068333485,0.00305076815951677,-0.0883203679869606,-0.26496808207741585
Guyana,-0.9716809378378954,1.7748611255217561,1.654095359596328,-1.0461684174460213,-1.1725952115443583
Cameroon,-4.208505276038595,2.5479382336496488,3.5868895127515636,-0.052790627570236774,4.597765862647848
Turkey,-0.5068085502284232,-1.148917206805741,0.5816529148924566,-0.27324521905899046,0.9696864956954744
United Arab Emirates,1.0785627717433834,-1.4657106517425793,0.3512754878238485,-0.3019272842219829,0.9804837191254673
Mozambique,-1.6818986932759477,-0.8766433665885872,0.45252511919792215,-0.9919205934130024,-0.9728645362767654
China,-0.0784085602729221,-0.8360506060665978,0.5791109016248406,-0.8365913777878309,0.09363779786177874
Rwanda,-1.5650997416090147,-0.5654355487986654,1.1796262979945085,-0.3632254191745292,0.06832939471735758
India,-0.6995578100163833,-0.6059831038285753,0.82543489380345,-0.7812943206083839,-0.7927045448577279
